account_id,customer_id,email,full_name,ssn_plain,dob,customer_created_at,customer_updated_at,account_type,opened_at,account_status,account_updated_at,txn_id,merchant_name,amount_cents,currency,txn_time,category,status,txn_created_at,txn_updated_at,amount_dollars
1,1,patricia.smith4507@example.com,Patricia Smith,328-27-2679,1967-10-19,2024-04-03T15:34:41,2024-07-20T15:34:41,savings,2025-03-15,frozen,2025-05-14T12:09:38,3858,Amazon,68198,USD,2024-09-18T22:10:14,fuel,pending,2024-09-18T22:10:14,2024-09-19T08:35:14,681.98
1,1,patricia.smith4507@example.com,Patricia Smith,328-27-2679,1967-10-19,2024-04-03T15:34:41,2024-07-20T15:34:41,savings,2025-03-15,frozen,2025-05-14T12:09:38,3857,Target,37422,USD,2024-07-14T14:18:25,food,reversed,2024-07-14T14:18:25,2024-07-15T13:52:25,374.22
1,1,patricia.smith4507@example.com,Patricia Smith,328-27-2679,1967-10-19,2024-04-03T15:34:41,2024-07-20T15:34:41,savings,2025-03-15,frozen,2025-05-14T12:09:38,3856,McDonalds,51544,USD,2025-05-20T05:09:43,rideshare,reversed,2025-05-20T05:09:43,2025-05-21T03:17:43,515.44
1,1,patricia.smith4507@example.com,Patricia Smith,328-27-2679,1967-10-19,2024-04-03T15:34:41,2024-07-20T15:34:41,savings,2025-03-15,frozen,2025-05-14T12:09:38,3855,Amazon,59734,USD,2025-02-11T09:51:11,streaming,pending,2025-02-11T09:51:11,2025-02-11T15:16:11,597.34
1,1,patricia.smith4507@example.com,Patricia Smith,328-27-2679,1967-10-19,2024-04-03T15:34:41,2024-07-20T15:34:41,savings,2025-03-15,frozen,2025-05-14T12:09:38,3854,Amazon,18218,USD,2024-07-05T16:13:01,travel,posted,2024-07-05T16:13:01,2024-07-06T04:40:01,182.18
1,1,patricia.smith4507@example.com,Patricia Smith,328-27-2679,1967-10-19,2024-04-03T15:34:41,2024-07-20T15:34:41,savings,2025-03-15,frozen,2025-05-14T12:09:38,3853,Apple,54908,USD,2024-06-16T15:26:35,streaming,reversed,2024-06-16T15:26:35,2024-06-17T02:07:35,549.08
1,1,patricia.smith4507@example.com,Patricia Smith,328-27-2679,1967-10-19,2024-04-03T15:34:41,2024-07-20T15:34:41,savings,2025-03-15,frozen,2025-05-14T12:09:38,3852,Apple,69700,USD,2025-05-23T16:29:03,coffee,posted,2025-05-23T16:29:03,2025-05-24T09:21:03,697.0
1,1,patricia.smith4507@example.com,Patricia Smith,328-27-2679,1967-10-19,2024-04-03T15:34:41,2024-07-20T15:34:41,savings,2025-03-15,frozen,2025-05-14T12:09:38,3851,Home Depot,71605,USD,2024-08-18T10:23:44,rideshare,reversed,2024-08-18T10:23:44,2024-08-18T22:26:44,716.05
1,1,patricia.smith4507@example.com,Patricia Smith,328-27-2679,1967-10-19,2024-04-03T15:34:41,2024-07-20T15:34:41,savings,2025-03-15,frozen,2025-05-14T12:09:38,3850,Home Depot,85327,USD,2024-06-03T06:40:08,streaming,reversed,2024-06-03T06:40:08,2024-06-03T13:26:08,853.27
1,1,patricia.smith4507@example.com,Patricia Smith,328-27-2679,1967-10-19,2024-04-03T15:34:41,2024-07-20T15:34:41,savings,2025-03-15,frozen,2025-05-14T12:09:38,3849,Airbnb,54247,USD,2025-05-23T23:58:58,food,posted,2025-05-23T23:58:58,2025-05-24T17:30:58,542.47
1,1,patricia.smith4507@example.com,Patricia Smith,328-27-2679,1967-10-19,2024-04-03T15:34:41,2024-07-20T15:34:41,savings,2025-03-15,frozen,2025-05-14T12:09:38,3848,Lyft,31342,USD,2024-06-19T00:01:44,grocery,posted,2024-06-19T00:01:44,2024-06-19T13:00:44,313.42
1,1,patricia.smith4507@example.com,Patricia Smith,328-27-2679,1967-10-19,2024-04-03T15:34:41,2024-07-20T15:34:41,savings,2025-03-15,frozen,2025-05-14T12:09:38,3847,Exxon,45433,USD,2024-06-10T18:35:42,streaming,posted,2024-06-10T18:35:42,2024-06-11T07:18:42,454.33
1,1,patricia.smith4507@example.com,Patricia Smith,328-27-2679,1967-10-19,2024-04-03T15:34:41,2024-07-20T15:34:41,savings,2025-03-15,frozen,2025-05-14T12:09:38,3846,Home Depot,4514,USD,2024-07-17T14:49:13,food,reversed,2024-07-17T14:49:13,2024-07-18T07:38:13,45.14
1,1,patricia.smith4507@example.com,Patricia Smith,328-27-2679,1967-10-19,2024-04-03T15:34:41,2024-07-20T15:34:41,savings,2025-03-15,frozen,2025-05-14T12:09:38,3845,Lyft,76323,USD,2025-05-30T05:39:09,food,reversed,2025-05-30T05:39:09,2025-05-30T22:34:09,763.23
1,1,patricia.smith4507@example.com,Patricia Smith,328-27-2679,1967-10-19,2024-04-03T15:34:41,2024-07-20T15:34:41,savings,2025-03-15,frozen,2025-05-14T12:09:38,3844,McDonalds,82148,USD,2024-03-12T11:24:31,streaming,posted,2024-03-12T11:24:31,2024-03-13T00:44:31,821.48
1,1,patricia.smith4507@example.com,Patricia Smith,328-27-2679,1967-10-19,2024-04-03T15:34:41,2024-07-20T15:34:41,savings,2025-03-15,frozen,2025-05-14T12:09:38,3843,Amazon,35785,USD,2025-05-08T06:18:29,fuel,posted,2025-05-08T06:18:29,2025-05-09T05:51:29,357.85
1,1,patricia.smith4507@example.com,Patricia Smith,328-27-2679,1967-10-19,2024-04-03T15:34:41,2024-07-20T15:34:41,savings,2025-03-15,frozen,2025-05-14T12:09:38,3842,Google,73263,USD,2025-06-29T01:32:59,fuel,pending,2025-06-29T01:32:59,2025-06-29T17:33:59,732.63
